Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
19-May-20,EQ,"1,354.25","1,407.00","1,348.55","1,344.35","1,372.70","1,373.80","1,382.92","2,059.50",735.35,700013,"968,058,590.40",35799,187
20-May-20,EQ,"1,375.00","1,424.00","1,370.00","1,373.80","1,415.00","1,415.15","1,406.07","2,059.50",735.35,456700,"642,152,219.65",34459,188
21-May-20,EQ,"1,416.00","1,452.00","1,396.00","1,415.15","1,440.10","1,442.25","1,429.67","2,059.50",735.35,439237,"627,961,872.05",19069,189
22-May-20,EQ,"1,451.00","1,573.00","1,450.00","1,442.25","1,497.40","1,507.05","1,529.92","2,059.50",735.35,2494242,"3,815,986,851.95",94574,190
26-May-20,EQ,"1,481.15","1,526.35","1,462.20","1,507.05","1,480.55","1,485.50","1,490.68","2,059.50",735.35,598598,"892,318,537.10",25206,191
27-May-20,EQ,"1,486.00","1,513.65","1,468.00","1,485.50","1,493.05","1,493.85","1,496.31","2,059.50",735.35,650795,"973,789,322.80",30650,192
28-May-20,EQ,"1,499.05","1,511.35","1,456.95","1,493.85","1,480.00","1,472.90","1,475.31","2,059.50",735.35,472137,"696,546,679.70",21742,193
29-May-20,EQ,"1,478.40","1,497.00","1,445.15","1,472.90","1,451.00","1,451.70","1,468.21","2,059.50",735.35,547199,"803,403,680.00",24297,194
1-Jun-20,EQ,"1,461.10","1,503.00","1,446.50","1,451.70","1,453.80","1,450.95","1,472.55","2,059.50",735.35,626997,"923,284,428.25",32582,195
2-Jun-20,EQ,"1,465.60","1,486.60","1,448.50","1,450.95","1,463.90","1,457.60","1,468.32","2,059.50",735.35,457703,"672,052,439.50",32010,196
3-Jun-20,EQ,"1,478.00","1,488.00","1,440.50","1,457.60","1,446.95","1,444.15","1,463.48","2,059.50",735.35,627622,"918,509,744.35",20176,197
4-Jun-20,EQ,"1,444.15","1,459.85","1,430.15","1,444.15","1,453.15","1,445.30","1,444.91","2,059.50",735.35,368932,"533,072,325.25",20932,198
5-Jun-20,EQ,"1,454.00","1,517.90","1,451.05","1,445.30","1,472.00","1,468.15","1,492.55","2,059.50",735.35,1153845,"1,722,171,601.65",56250,199
8-Jun-20,EQ,"1,480.00","1,501.95","1,443.20","1,468.15","1,451.00","1,450.40","1,473.48","2,059.50",735.35,313359,"461,727,359.40",17022,200
